timestamp,src_ip,dst_ip,protocol
2025-11-21 13:39:51.067421,10.174.6.140,224.0.0.252,LLMNR
2025-11-21 13:39:51.120269,10.174.3.160,10.174.0.8,MSDO
2025-11-21 13:39:51.163685,10.174.0.8,10.174.3.160,TCP
2025-11-21 13:39:51.174154,10.174.0.48,239.255.255.250,SSDP
2025-11-21 13:39:51.194838,10.174.7.205,224.0.0.251,MDNS
2025-11-21 13:39:51.201450,0.0.0.0,255.255.255.255,DHCP
2025-11-21 13:39:51.201450,10.174.0.1,255.255.255.255,DHCP
2025-11-21 13:39:51.219471,10.174.0.253,224.0.0.252,LLMNR
2025-11-21 13:39:51.323617,10.174.0.228,224.0.0.251,MDNS
2025-11-21 13:39:51.411801,10.174.6.140,10.174.7.255,NBNS
2025-11-21 13:39:51.474650,10.174.7.163,224.0.0.251,MDNS
2025-11-21 13:39:51.489222,10.174.0.8,206.247.55.40,DATA
2025-11-21 13:39:51.489368,10.174.2.189,239.255.255.250,SSDP
2025-11-21 13:39:51.492064,10.174.7.46,239.255.255.250,SSDP
2025-11-21 13:39:51.546274,10.174.0.253,10.174.7.255,NBNS
2025-11-21 13:39:51.546546,10.174.0.253,10.174.7.255,NBNS
2025-11-21 13:39:51.546613,10.174.0.253,10.174.7.255,NBNS
2025-11-21 13:39:51.595738,10.174.7.46,239.255.255.250,SSDP
2025-11-21 13:39:51.661117,10.174.0.225,10.174.7.255,DATA
2025-11-21 13:39:51.661771,10.174.0.8,206.247.55.40,TLS
2025-11-21 13:39:51.698284,10.174.7.46,239.255.255.250,SSDP
2025-11-21 13:39:51.699885,10.174.1.150,224.0.0.251,MDNS
2025-11-21 13:39:51.708034,10.174.0.41,10.174.7.255,BROWSER
2025-11-21 13:39:51.739682,10.174.1.43,224.0.0.251,MDNS
2025-11-21 13:39:51.740484,10.174.1.43,224.0.0.251,MDNS
2025-11-21 13:39:51.764886,10.174.1.150,224.0.0.251,MDNS
2025-11-21 13:39:51.807276,10.174.1.150,239.255.255.250,SSDP
2025-11-21 13:39:51.838638,10.174.0.8,206.247.55.40,DATA
2025-11-21 13:39:51.876928,10.174.7.120,224.0.0.251,MDNS
2025-11-21 13:39:51.939714,10.174.7.33,224.0.0.251,MDNS
2025-11-21 13:39:51.981657,206.247.55.40,10.174.0.8,TCP
2025-11-21 13:39:51.982343,10.174.3.132,10.174.7.255,NBNS
2025-11-21 13:39:51.991091,206.247.55.40,10.174.0.8,TLS
2025-11-21 13:39:51.998556,10.174.6.252,239.255.255.250,SSDP
2025-11-21 13:39:52.017276,10.174.3.57,224.0.0.251,MDNS
2025-11-21 13:39:52.028789,10.174.3.57,239.255.255.250,SSDP
2025-11-21 13:39:52.031969,10.174.0.8,206.247.55.40,TCP
2025-11-21 13:39:52.054001,10.174.1.96,224.0.0.251,MDNS
2025-11-21 13:39:52.097312,206.247.55.40,10.174.0.8,DATA
2025-11-21 13:39:52.097595,10.174.0.8,206.247.55.40,DATA
2025-11-21 13:39:52.158077,10.174.1.43,224.0.0.251,MDNS
2025-11-21 13:39:52.158822,10.174.1.43,10.174.7.255,NBNS
2025-11-21 13:39:52.159265,10.174.1.43,224.0.0.251,MDNS
2025-11-21 13:39:52.159464,10.174.1.43,224.0.0.252,LLMNR
2025-11-21 13:39:52.159888,10.174.1.43,224.0.0.252,LLMNR
2025-11-21 13:39:52.173180,10.174.6.140,10.174.7.255,NBNS
2025-11-21 13:39:52.199072,10.174.7.205,224.0.0.251,MDNS
2025-11-21 13:39:52.228449,10.174.2.161,224.0.0.251,MDNS
2025-11-21 13:39:52.263085,10.174.0.8,206.247.55.40,TLS
2025-11-21 13:39:52.338489,0.0.0.0,255.255.255.255,DHCP
2025-11-21 13:39:52.340091,10.174.0.1,255.255.255.255,DHCP
2025-11-21 13:39:52.388772,10.174.0.253,224.0.0.252,LLMNR
2025-11-21 13:39:52.471041,10.174.3.228,239.255.255.250,SSDP
2025-11-21 13:39:52.475126,10.174.2.161,224.0.0.251,MDNS
2025-11-21 13:39:52.486915,10.174.7.120,239.255.255.250,SSDP
2025-11-21 13:39:52.491923,10.174.0.8,206.247.55.40,DATA
2025-11-21 13:39:52.510865,10.174.0.8,206.247.55.40,DATA
2025-11-21 13:39:52.557088,10.174.3.228,239.255.255.250,SSDP
2025-11-21 13:39:52.567097,206.247.55.40,10.174.0.8,TLS
2025-11-21 13:39:52.567423,10.174.0.8,206.247.55.40,TLS
2025-11-21 13:39:52.569454,10.174.1.43,224.0.0.252,LLMNR
2025-11-21 13:39:52.569454,10.174.1.43,224.0.0.252,LLMNR
2025-11-21 13:39:52.569777,10.174.1.43,224.0.0.251,MDNS
2025-11-21 13:39:52.570417,10.174.1.43,224.0.0.251,MDNS
2025-11-21 13:39:52.582406,206.247.55.40,10.174.0.8,TCP
2025-11-21 13:39:52.582406,206.247.55.40,10.174.0.8,TLS
2025-11-21 13:39:52.620161,10.174.0.5,224.0.0.251,MDNS
2025-11-21 13:39:52.623360,10.174.0.5,224.0.0.251,MDNS
2025-11-21 13:39:52.623855,10.174.0.8,206.247.55.40,TCP
2025-11-21 13:39:52.635164,170.114.52.83,10.174.0.8,TCP
2025-11-21 13:39:52.635281,10.174.0.8,170.114.52.83,TCP
2025-11-21 13:39:52.656072,10.174.0.8,206.247.55.40,TLS
2025-11-21 13:39:52.662590,10.174.3.228,239.255.255.250,SSDP
2025-11-21 13:39:52.667421,10.174.7.157,224.0.0.251,MDNS
2025-11-21 13:39:52.735814,10.174.3.132,10.174.7.255,NBNS
2025-11-21 13:39:52.736900,10.174.0.60,239.255.255.250,SSDP
2025-11-21 13:39:52.739419,10.174.2.161,224.0.0.251,MDNS
2025-11-21 13:39:52.758489,10.174.0.253,239.255.255.250,SSDP
2025-11-21 13:39:52.761707,10.174.1.24,239.255.255.250,SSDP
2025-11-21 13:39:52.790988,10.174.0.253,239.255.255.250,SSDP
2025-11-21 13:39:52.791699,10.174.0.253,224.0.0.252,LLMNR
2025-11-21 13:39:52.806701,206.247.55.40,10.174.0.8,DATA
2025-11-21 13:39:52.863518,10.174.7.163,224.0.0.251,MDNS
2025-11-21 13:39:52.883483,10.174.0.5,224.0.0.251,MDNS
2025-11-21 13:39:52.914602,10.174.1.43,10.174.7.255,NBNS
2025-11-21 13:39:52.937688,206.247.55.40,10.174.0.8,TCP
2025-11-21 13:39:52.985918,10.174.2.161,224.0.0.251,MDNS
2025-11-21 13:39:52.986858,206.247.55.40,10.174.0.8,TLS
2025-11-21 13:39:52.994833,10.174.7.157,224.0.0.251,MDNS
2025-11-21 13:39:53.029871,10.174.0.8,206.247.55.40,TCP
2025-11-21 13:39:53.147236,10.174.0.5,224.0.0.251,MDNS
2025-11-21 13:39:53.199069,10.174.4.83,224.0.0.251,MDNS
2025-11-21 13:39:53.214233,10.174.0.41,10.174.7.255,BROWSER
2025-11-21 13:39:53.290554,10.174.3.191,224.0.0.251,MDNS
2025-11-21 13:39:53.310748,10.174.5.12,224.0.0.251,MDNS
2025-11-21 13:39:53.372251,10.174.0.8,206.247.55.40,TLS
2025-11-21 13:39:53.403896,10.174.1.120,224.0.0.251,MDNS
2025-11-21 13:39:53.404296,10.174.0.8,35.186.224.40,TLS
2025-11-21 13:39:53.418064,10.174.0.5,224.0.0.251,MDNS
2025-11-21 13:39:53.418851,10.174.0.5,224.0.0.251,MDNS
2025-11-21 13:39:53.449438,35.186.224.40,10.174.0.8,TCP
2025-11-21 13:39:53.494272,10.174.3.132,10.174.7.255,NBNS
2025-11-21 13:39:53.520029,10.174.0.8,206.247.55.40,DATA
2025-11-21 13:39:53.520250,10.174.0.8,206.247.55.40,DATA
2025-11-21 13:39:53.520356,10.174.0.8,206.247.55.40,DATA
2025-11-21 13:39:53.528764,10.174.0.8,206.247.55.40,DATA
2025-11-21 13:39:53.544874,10.174.7.209,224.0.0.251,MDNS
2025-11-21 13:39:53.594086,10.169.193.18,224.0.0.251,MDNS
2025-11-21 13:39:53.602334,10.174.7.120,224.0.0.251,MDNS
2025-11-21 13:39:53.622360,0.0.0.0,255.255.255.255,DHCP
2025-11-21 13:39:53.642529,10.174.0.8,206.247.55.40,TLS
2025-11-21 13:39:53.653961,10.174.1.150,224.0.0.251,MDNS
2025-11-21 13:39:53.664351,10.174.2.30,224.0.0.251,MDNS
2025-11-21 13:39:53.665823,10.174.7.157,224.0.0.251,MDNS
2025-11-21 13:39:53.674683,10.174.1.43,10.174.7.255,NBNS
2025-11-21 13:39:53.699928,206.247.55.40,10.174.0.8,TLS
2025-11-21 13:39:53.701752,206.247.55.40,10.174.0.8,TLS
2025-11-21 13:39:53.701833,10.174.0.8,206.247.55.40,TCP
2025-11-21 13:39:53.711968,10.174.0.8,206.247.55.40,TLS
2025-11-21 13:39:53.750760,10.174.0.60,239.255.255.250,SSDP
2025-11-21 13:39:53.764475,206.247.55.40,10.174.0.8,DATA
2025-11-21 13:39:53.764753,10.174.0.8,206.247.55.40,DATA
2025-11-21 13:39:53.773551,206.247.55.40,10.174.0.8,DATA
2025-11-21 13:39:53.774160,10.174.0.8,206.247.55.40,DATA
2025-11-21 13:39:53.793522,206.247.55.40,10.174.0.8,DATA
2025-11-21 13:39:53.797943,206.247.55.40,10.174.0.8,DATA
2025-11-21 13:39:53.797943,206.247.55.40,10.174.0.8,DATA
2025-11-21 13:39:53.809923,10.174.1.150,239.255.255.250,SSDP
2025-11-21 13:39:53.900168,10.174.0.8,10.54.156.226,TCP
2025-11-21 13:39:53.953943,206.247.55.40,10.174.0.8,TLS
2025-11-21 13:39:53.954274,10.174.0.8,206.247.55.40,TLS
2025-11-21 13:39:53.963802,206.247.55.40,10.174.0.8,TLS
2025-11-21 13:39:53.989409,10.174.2.161,224.0.0.251,MDNS
2025-11-21 13:39:53.999688,10.174.6.252,239.255.255.250,SSDP
2025-11-21 13:39:54.010092,10.174.0.8,206.247.55.40,TCP
2025-11-21 13:39:54.013467,10.174.3.57,224.0.0.251,MDNS
2025-11-21 13:39:54.028230,10.174.3.57,239.255.255.250,SSDP
2025-11-21 13:39:54.052916,10.174.7.163,224.0.0.251,MDNS
2025-11-21 13:39:54.072661,206.247.55.40,10.174.0.8,TCP
2025-11-21 13:39:54.104777,10.174.0.8,170.114.2.72,TLS
2025-11-21 13:39:54.205314,10.174.0.48,239.255.255.250,SSDP
2025-11-21 13:39:54.276887,206.247.55.40,10.174.0.8,TCP
2025-11-21 13:39:54.302934,208.103.161.2,10.174.0.8,TLS
2025-11-21 13:39:54.310825,10.174.0.8,208.103.161.2,TLS
2025-11-21 13:39:54.354996,208.103.161.2,10.174.0.8,TCP
2025-11-21 13:39:54.370265,170.114.2.72,10.174.0.8,TLS
2025-11-21 13:39:54.417539,10.174.0.8,170.114.2.72,TCP
2025-11-21 13:39:54.460795,10.174.7.120,239.255.255.250,SSDP
2025-11-21 13:39:54.467993,10.174.0.8,10.162.21.247,TCP
2025-11-21 13:39:54.503154,10.174.7.120,239.255.255.250,SSDP
2025-11-21 13:39:54.549850,10.174.0.8,206.247.55.40,DATA
2025-11-21 13:39:54.675236,10.174.1.186,224.0.0.251,MDNS
2025-11-21 13:39:54.693063,10.174.1.3,224.0.0.251,MDNS
2025-11-21 13:39:54.734227,10.174.0.41,10.174.7.255,BROWSER
2025-11-21 13:39:54.763174,10.174.1.24,239.255.255.250,SSDP
2025-11-21 13:39:54.765031,10.174.0.60,239.255.255.250,SSDP
2025-11-21 13:39:54.781231,10.174.0.241,224.0.0.251,MDNS
2025-11-21 13:39:54.900544,10.174.0.8,10.54.156.226,TCP
2025-11-21 13:39:55.143394,0.0.0.0,255.255.255.255,DHCP
2025-11-21 13:39:55.234271,10.174.5.23,224.0.0.251,MDNS
2025-11-21 13:39:55.247705,10.174.7.209,239.255.255.250,SSDP
2025-11-21 13:39:55.324439,10.174.3.111,224.0.0.251,MDNS
2025-11-21 13:39:55.342817,10.174.0.228,224.0.0.251,MDNS
2025-11-21 13:39:55.477269,10.174.0.8,10.162.21.247,TCP
2025-11-21 13:39:55.492164,10.174.7.120,224.0.0.251,MDNS
2025-11-21 13:39:55.569428,10.174.0.8,206.247.55.40,DATA
2025-11-21 13:39:55.589040,10.174.0.8,206.247.55.40,DATA
2025-11-21 13:39:55.636977,10.174.0.12,224.0.0.251,MDNS
2025-11-21 13:39:55.636977,10.174.0.12,224.0.0.251,MDNS
2025-11-21 13:39:55.669998,10.174.1.150,224.0.0.251,MDNS
2025-11-21 13:39:55.711575,10.174.7.120,224.0.0.251,MDNS
2025-11-21 13:39:55.755828,10.174.0.41,10.174.7.255,BROWSER
2025-11-21 13:39:55.771370,10.174.1.24,239.255.255.250,SSDP
2025-11-21 13:39:55.774844,10.174.0.60,239.255.255.250,SSDP
2025-11-21 13:39:55.787861,10.174.0.241,224.0.0.251,MDNS
2025-11-21 13:39:55.810125,10.174.1.150,239.255.255.250,SSDP
2025-11-21 13:39:55.846209,206.247.55.40,10.174.0.8,DATA
2025-11-21 13:39:55.846755,10.174.0.8,206.247.55.40,DATA
2025-11-21 13:39:55.864428,206.247.55.40,10.174.0.8,DATA
2025-11-21 13:39:55.992027,10.174.2.161,224.0.0.251,MDNS
2025-11-21 13:39:56.008978,10.174.0.8,206.247.55.40,TLS
2025-11-21 13:39:56.018788,10.174.3.57,224.0.0.251,MDNS
2025-11-21 13:39:56.027186,10.174.3.57,239.255.255.250,SSDP
2025-11-21 13:39:56.038672,10.174.0.8,10.174.0.21,MSDO
2025-11-21 13:39:56.038767,10.174.0.8,10.174.0.52,MSDO
2025-11-21 13:39:56.038845,10.174.0.8,10.174.6.179,MSDO
2025-11-21 13:39:56.038966,10.174.0.8,10.174.3.160,MSDO
2025-11-21 13:39:56.039079,10.174.0.8,10.174.2.3,MSDO
2025-11-21 13:39:56.039124,10.174.0.8,10.174.3.255,MSDO
2025-11-21 13:39:56.039175,10.174.0.8,10.174.4.98,MSDO
2025-11-21 13:39:56.039244,10.174.0.8,10.174.0.5,MSDO
2025-11-21 13:39:56.039281,10.174.0.8,10.174.0.59,MSDO
2025-11-21 13:39:56.049806,10.174.7.239,224.0.0.251,MDNS
2025-11-21 13:39:56.081223,10.174.2.3,10.174.0.8,TCP
2025-11-21 13:39:56.086166,10.174.6.179,10.174.0.8,TCP
2025-11-21 13:39:56.086423,10.174.0.21,10.174.0.8,TCP
2025-11-21 13:39:56.088842,10.174.0.52,10.174.0.8,TCP
2025-11-21 13:39:56.089453,10.174.4.98,10.174.0.8,TCP
2025-11-21 13:39:56.093581,10.174.0.5,10.174.0.8,TCP
2025-11-21 13:39:56.099161,10.174.0.59,10.174.0.8,TCP
2025-11-21 13:39:56.099244,10.174.3.255,10.174.0.8,TCP
2025-11-21 13:39:56.147481,10.174.0.8,170.114.2.84,TLS
2025-11-21 13:39:56.238697,10.174.0.8,206.247.55.40,DATA
2025-11-21 13:39:56.287845,10.174.0.8,10.174.3.160,TCP
2025-11-21 13:39:56.299496,10.174.3.160,10.174.0.8,TCP
2025-11-21 13:39:56.299496,10.174.3.160,10.174.0.8,TCP
2025-11-21 13:39:56.383150,10.174.7.239,224.0.0.251,MDNS
2025-11-21 13:39:56.397219,170.114.2.84,10.174.0.8,TLS
2025-11-21 13:39:56.443495,10.174.0.8,170.114.2.84,TCP
2025-11-21 13:39:56.488962,10.174.7.120,239.255.255.250,SSDP
2025-11-21 13:39:56.518796,10.174.0.8,206.247.55.40,TCP
2025-11-21 13:39:56.530725,206.247.55.40,10.174.0.8,DATA
2025-11-21 13:39:56.530978,10.174.0.8,206.247.55.40,DATA
2025-11-21 13:39:56.556315,206.247.55.40,10.174.0.8,DATA
2025-11-21 13:39:56.589276,10.174.0.8,206.247.55.40,DATA
2025-11-21 13:39:56.649565,10.174.0.12,224.0.0.251,MDNS
2025-11-21 13:39:56.649565,10.174.0.12,224.0.0.251,MDNS
2025-11-21 13:39:56.664570,10.174.0.225,10.174.7.255,DATA
2025-11-21 13:39:56.719729,10.174.0.41,10.174.7.255,BROWSER
2025-11-21 13:39:56.835543,206.247.55.40,10.174.0.8,TCP
